site,plastic,rep,type,abundance,abundance_cor,log_abundance,type2
dockyard,PET,dockyard_PET_1,culturable,175.74,176.74,2.247334850657456,(a)~LB~medium
dockyard,PET,dockyard_PET_1,coliform,4.75,5.75,0.7596678446896304,(b)~coliform
dockyard,PET,dockyard_PET_1,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PET,dockyard_PET_2,culturable,1163.69,1164.69,3.0662103466453976,(a)~LB~medium
dockyard,PET,dockyard_PET_2,coliform,66.5,67.5,1.8293037728310249,(b)~coliform
dockyard,PET,dockyard_PET_2,ecoli,7.12,8.120000000000001,0.9095560292411754,"(c)~italic(""E.coli"")"
dockyard,PET,dockyard_PET_3,culturable,1567.42,1568.42,3.195462371650522,(a)~LB~medium
dockyard,PET,dockyard_PET_3,coliform,173.37,174.37,2.241471767550763,(b)~coliform
dockyard,PET,dockyard_PET_3,ecoli,14.25,15.25,1.1832698436828046,"(c)~italic(""E.coli"")"
dockyard,PET,dockyard_PET_4,culturable,451.23,452.23,2.655359369159926,(a)~LB~medium
dockyard,PET,dockyard_PET_4,coliform,76,77,1.8864907251724818,(b)~coliform
dockyard,PET,dockyard_PET_4,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PET,dockyard_PET_5,culturable,1044.94,1045.94,3.019506772087379,(a)~LB~medium
dockyard,PET,dockyard_PET_5,coliform,80.75,81.75,1.9124877613323237,(b)~coliform
dockyard,PET,dockyard_PET_5,ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
dockyard,PET,dockyard_PET_6,culturable,308.73,309.73,2.490983272529727,(a)~LB~medium
dockyard,PET,dockyard_PET_6,coliform,87.87,88.87,1.9487551801682699,(b)~coliform
dockyard,PET,dockyard_PET_6,ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
dockyard,PVC,dockyard_PVC_1,culturable,94.99,95.99,1.9822259916746747,(a)~LB~medium
dockyard,PVC,dockyard_PVC_1,coliform,2.37,3.37,0.5276299008713387,(b)~coliform
dockyard,PVC,dockyard_PVC_1,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PVC,dockyard_PVC_2,culturable,1448.67,1449.67,3.1612691515522098,(a)~LB~medium
dockyard,PVC,dockyard_PVC_2,coliform,99.74,100.74,2.0032019465216924,(b)~coliform
dockyard,PVC,dockyard_PVC_2,ecoli,9.5,10.5,1.021189299069938,"(c)~italic(""E.coli"")"
dockyard,PVC,dockyard_PVC_3,culturable,2018.64,2019.64,3.305273963532285,(a)~LB~medium
dockyard,PVC,dockyard_PVC_3,coliform,256.49,257.49,2.4107603672445874,(b)~coliform
dockyard,PVC,dockyard_PVC_3,ecoli,33.25,34.25,1.5346605758284444,"(c)~italic(""E.coli"")"
dockyard,PVC,dockyard_PVC_4,culturable,2184.88,2185.88,3.3396263164570916,(a)~LB~medium
dockyard,PVC,dockyard_PVC_4,coliform,391.85,392.85,2.5942267574809135,(b)~coliform
dockyard,PVC,dockyard_PVC_4,ecoli,23.75,24.75,1.3935752032695876,"(c)~italic(""E.coli"")"
dockyard,PVC,dockyard_PVC_5,culturable,593.72,594.72,2.7743125437516505,(a)~LB~medium
dockyard,PVC,dockyard_PVC_5,coliform,68.87,69.87,1.8442907432543432,(b)~coliform
dockyard,PVC,dockyard_PVC_5,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PVC,dockyard_PVC_6,culturable,1306.18,1307.18,3.116335394485093,(a)~LB~medium
dockyard,PVC,dockyard_PVC_6,coliform,94.99,95.99,1.9822259916746747,(b)~coliform
dockyard,PVC,dockyard_PVC_6,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,LDPE,dockyard_LDPE_1,culturable,736.21,737.21,2.8675912176422123,(a)~LB~medium
dockyard,LDPE,dockyard_LDPE_1,coliform,11.87,12.87,1.1095785469043866,(b)~coliform
dockyard,LDPE,dockyard_LDPE_1,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,LDPE,dockyard_LDPE_2,culturable,237.49,238.49,2.377470173582134,(a)~LB~medium
dockyard,LDPE,dockyard_LDPE_2,coliform,14.25,15.25,1.1832698436828046,(b)~coliform
dockyard,LDPE,dockyard_LDPE_2,ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
dockyard,LDPE,dockyard_LDPE_3,culturable,474.97,475.97,2.6775795803569493,(a)~LB~medium
dockyard,LDPE,dockyard_LDPE_3,coliform,111.62,112.62,2.05161552300499,(b)~coliform
dockyard,LDPE,dockyard_LDPE_3,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,LDPE,dockyard_LDPE_4,culturable,1828.65,1829.65,3.2623680200001934,(a)~LB~medium
dockyard,LDPE,dockyard_LDPE_4,coliform,85.5,86.5,1.9370161074648142,(b)~coliform
dockyard,LDPE,dockyard_LDPE_4,ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
dockyard,LDPE,dockyard_LDPE_5,culturable,170.99,171.99,2.2355031964943377,(a)~LB~medium
dockyard,LDPE,dockyard_LDPE_5,coliform,4.75,5.75,0.7596678446896304,(b)~coliform
dockyard,LDPE,dockyard_LDPE_5,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,LDPE,dockyard_LDPE_6,culturable,1614.91,1615.91,3.208417168572333,(a)~LB~medium
dockyard,LDPE,dockyard_LDPE_6,coliform,54.62,55.62,1.7452309845281406,(b)~coliform
dockyard,LDPE,dockyard_LDPE_6,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_1,culturable,522.47,523.47,2.718891797365787,(a)~LB~medium
dockyard,PP,dockyard_PP_1,coliform,7.12,8.120000000000001,0.9095560292411754,(b)~coliform
dockyard,PP,dockyard_PP_1,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_2,culturable,322.98,323.98,2.5105182010778093,(a)~LB~medium
dockyard,PP,dockyard_PP_2,coliform,7.12,8.120000000000001,0.9095560292411754,(b)~coliform
dockyard,PP,dockyard_PP_2,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_3,culturable,2066.14,2067.14,3.3153698908355587,(a)~LB~medium
dockyard,PP,dockyard_PP_3,coliform,59.37,60.37,1.7808211758534729,(b)~coliform
dockyard,PP,dockyard_PP_3,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_4,culturable,783.71,784.71,2.894709187102854,(a)~LB~medium
dockyard,PP,dockyard_PP_4,coliform,275.49,276.49,2.4416794285038086,(b)~coliform
dockyard,PP,dockyard_PP_4,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_5,culturable,73.62,74.62,1.8728552447048104,(a)~LB~medium
dockyard,PP,dockyard_PP_5,coliform,4.75,5.75,0.7596678446896304,(b)~coliform
dockyard,PP,dockyard_PP_5,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_6,culturable,474.97,475.97,2.6775795803569493,(a)~LB~medium
dockyard,PP,dockyard_PP_6,coliform,49.87,50.87,1.7064617376313547,(b)~coliform
dockyard,PP,dockyard_PP_6,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_1,culturable,2992.34,2993.34,3.476156049194854,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_1,coliform,90.25,91.25,1.9602328731285124,(b)~coliform
dockyard,HDPE,dockyard_HDPE_1,ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_2,culturable,1496.17,1497.17,3.175271116221578,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_2,coliform,116.37,117.37,2.069557104582695,(b)~coliform
dockyard,HDPE,dockyard_HDPE_2,ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_3,culturable,1472.42,1473.42,3.168326560612314,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_3,coliform,159.12,160.12,2.2044455814330677,(b)~coliform
dockyard,HDPE,dockyard_HDPE_3,ecoli,23.75,24.75,1.3935752032695876,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_4,culturable,1116.19,1117.19,3.048127039663898,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_4,coliform,208.99,209.99,2.3221986135518917,(b)~coliform
dockyard,HDPE,dockyard_HDPE_4,ecoli,16.62,17.62,1.2460059040760292,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_5,culturable,712.46,713.46,2.853369629495179,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_5,coliform,19,20,1.3010299956639813,(b)~coliform
dockyard,HDPE,dockyard_HDPE_5,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_6,culturable,1638.66,1639.66,3.214753802052457,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_6,coliform,94.99,95.99,1.9822259916746747,(b)~coliform
dockyard,HDPE,dockyard_HDPE_6,ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_1",culturable,118.74,119.74,2.078239253809666,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_1",coliform,0,1,0,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_2",culturable,57,58,1.7634279935629373,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_2",coliform,280.24,281.24,2.4490770892633167,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_2",ecoli,9.5,10.5,1.021189299069938,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_3",culturable,54.62,55.62,1.7452309845281406,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_3",coliform,7.12,8.120000000000001,0.9095560292411754,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_4",culturable,33.25,34.25,1.5346605758284444,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_4",coliform,0,1,0,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_5",culturable,498.72,499.72,2.6987267313033447,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_5",coliform,66.5,67.5,1.8293037728310249,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_5",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_6",culturable,94.99,95.99,1.9822259916746747,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_6",coliform,4.75,5.75,0.7596678446896304,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_6",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_1",culturable,135.37,136.37,2.1347188405003945,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_1",coliform,16.62,17.62,1.2460059040760292,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_2",culturable,166.24,167.24,2.223340158878377,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_2",coliform,4.75,5.75,0.7596678446896304,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_3",culturable,64.12,65.12,1.813714391881145,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_3",coliform,0,1,0,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_4",culturable,21.37,22.37,1.3496659840966296,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_4",coliform,9.5,10.5,1.021189299069938,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_5",culturable,360.98,361.98,2.558684575700048,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_5",coliform,199.49,200.49,2.3020927158433557,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_5",ecoli,9.5,10.5,1.021189299069938,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_6",culturable,284.98,285.98,2.456335661823607,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_6",coliform,16.62,17.62,1.2460059040760292,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_6",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_1",culturable,19,20,1.3010299956639813,(a)~LB~medium
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_1",coliform,0,1,0,(b)~coliform
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_2",culturable,54.62,55.62,1.7452309845281406,(a)~LB~medium
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_2",coliform,0,1,0,(b)~coliform
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_3",culturable,49.87,50.87,1.7064617376313547,(a)~LB~medium
