"sample","plastic","time_of_death","site","status","rep"
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T1","T",72,"A",0,1
"T2","T",24,"A",1,2
"T2","T",24,"A",1,2
"T2","T",24,"A",1,2
"T2","T",48,"A",1,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T2","T",72,"A",0,2
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",24,"A",1,3
"T3","T",48,"A",1,3
"T3","T",48,"A",1,3
"T3","T",48,"A",1,3
"T3","T",48,"A",1,3
"T3","T",72,"A",0,3
"T3","T",72,"A",0,3
"T3","T",72,"A",0,3
"T3","T",72,"A",0,3
"T4","T",24,"A",1,4
"T4","T",24,"A",1,4
"T4","T",24,"A",1,4
"T4","T",24,"A",1,4
"T4","T",24,"A",1,4
"T4","T",24,"A",1,4
"T4","T",24,"A",1,4
"T4","T",24,"A",1,4
"T4","T",24,"A",1,4
"T4","T",48,"A",1,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"T4","T",72,"A",0,4
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V1","V",72,"A",0,1
"V2","V",24,"A",1,2
"V2","V",24,"A",1,2
"V2","V",24,"A",1,2
"V2","V",24,"A",1,2
"V2","V",48,"A",1,2
"V2","V",48,"A",1,2
"V2","V",48,"A",1,2
"V2","V",48,"A",1,2
"V2","V",72,"A",1,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V2","V",72,"A",0,2
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V3","V",24,"A",1,3
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",24,"A",1,4
"V4","V",72,"A",0,4
"V4","V",72,"A",0,4
"V4","V",72,"A",0,4
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L1","L",72,"A",0,1
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L2","L",72,"A",0,2
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",24,"A",1,3
"L3","L",48,"A",1,3
"L3","L",48,"A",1,3
"L3","L",48,"A",1,3
"L3","L",48,"A",1,3
"L3","L",48,"A",1,3
"L3","L",48,"A",1,3
"L3","L",72,"A",0,3
"L3","L",72,"A",0,3
"L3","L",72,"A",0,3
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",24,"A",1,4
"L4","L",48,"A",1,4
"L4","L",48,"A",1,4
"L4","L",48,"A",1,4
"L4","L",48,"A",1,4
"L4","L",72,"A",1,4
"L4","L",72,"A",0,4
"L4","L",72,"A",0,4
"L4","L",72,"A",0,4
"L4","L",72,"A",0,4
"P1","P",24,"A",1,1
"P1","P",48,"A",1,1
"P1","P",48,"A",1,1
"P1","P",48,"A",1,1
"P1","P",48,"A",1,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P1","P",72,"A",0,1
"P2","P",48,"A",1,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P2","P",72,"A",0,2
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",24,"A",1,3
"P3","P",48,"A",1,3
"P3","P",48,"A",1,3
"P3","P",72,"A",0,3
"P3","P",72,"A",0,3
"P3","P",72,"A",0,3
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",24,"A",1,4
"P4","P",72,"A",0,4
"H1","H",24,"A",1,1
"H1","H",24,"A",1,1
"H1","H",24,"A",1,1
"H1","H",24,"A",1,1
"H1","H",48,"A",1,1
"H1","H",48,"A",1,1
"H1","H",72,"A",1,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H1","H",72,"A",0,1
"H2","H",48,"A",1,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H2","H",72,"A",0,2
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",24,"A",1,3
"H3","H",72,"A",0,3
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",24,"A",1,4
"H4","H",72,"A",0,4
"H4","H",72,"A",0,4
"H4","H",72,"A",0,4
"H4","H",72,"A",0,4
"H4","H",72,"A",0,4
"T5","T",24,"B",1,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T5","T",72,"B",0,5
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T6","T",72,"B",0,6
"T7","T",24,"B",1,7
"T7","T",24,"B",1,7
"T7","T",24,"B",1,7
"T7","T",24,"B",1,7
"T7","T",24,"B",1,7
"T7","T",48,"B",1,7
"T7","T",48,"B",1,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T7","T",72,"B",0,7
"T8","T",24,"B",1,8
"T8","T",24,"B",1,8
"T8","T",24,"B",1,8
"T8","T",24,"B",1,8
"T8","T",24,"B",1,8
"T8","T",24,"B",1,8
"T8","T",24,"B",1,8
"T8","T",24,"B",1,8
"T8","T",48,"B",1,8
"T8","T",72,"B",1,8
"T8","T",72,"B",1,8
"T8","T",72,"B",0,8
"T8","T",72,"B",0,8
"T8","T",72,"B",0,8
"T8","T",72,"B",0,8
"T8","T",72,"B",0,8
"T8","T",72,"B",0,8
"T8","T",72,"B",0,8
"T8","T",72,"B",0,8
"T8","T",72,"B",0,8
"V5","V",24,"B",1,5
"V5","V",24,"B",1,5
"V5","V",24,"B",1,5
"V5","V",24,"B",1,5
"V5","V",24,"B",1,5
"V5","V",24,"B",1,5
"V5","V",24,"B",1,5
"V5","V",24,"B",1,5
"V5","V",72,"B",1,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V5","V",72,"B",0,5
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",24,"B",1,6
"V6","V",48,"B",1,6
"V6","V",48,"B",1,6
"V6","V",48,"B",1,6
"V6","V",48,"B",1,6
"V6","V",72,"B",1,6
"V6","V",72,"B",0,6
"V6","V",72,"B",0,6
"V6","V",72,"B",0,6
"V7","V",24,"B",1,7
"V7","V",24,"B",1,7
"V7","V",24,"B",1,7
"V7","V",24,"B",1,7
"V7","V",24,"B",1,7
"V7","V",24,"B",1,7
"V7","V",24,"B",1,7
"V7","V",24,"B",1,7
"V7","V",24,"B",1,7
"V7","V",48,"B",1,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V7","V",72,"B",0,7
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",24,"B",1,8
"V8","V",72,"B",0,8
"V8","V",72,"B",0,8
"V8","V",72,"B",0,8
"V8","V",72,"B",0,8
"V8","V",72,"B",0,8
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L5","L",72,"B",0,5
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L6","L",72,"B",0,6
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
"L7","L",24,"B",1,7
